,Relation,A,B,C,D,Prediction,Correct
155,antonyms - gradable,young,hoary,generous,"['stingy', 'beggarly', 'mean', 'cheap', 'chinchy', 'chintzy', 'cheeseparing', 'close', 'near', 'penny pinching', 'skinny', 'closefisted', 'hardfisted', 'tightfisted', 'grudging', 'niggardly', 'scrimy', 'mingy', 'miserly', 'tight', 'parsimonious', 'penurious', 'selfish', 'uncharitable', 'ungenerous', 'meanspirited']",stingy,1
156,antonyms - gradable,common,extraordinary,decisive,"['hesitating', 'indecisive', 'hesitant', 'inconclusive', 'irresolute']",indecisive,1
157,antonyms - gradable,decisive,indecisive,concerned,"['unconcerned', 'blase', 'blithe', 'casual', 'insouciant', 'nonchalant', 'degage', 'detached', 'uninvolved', 'indifferent', 'careless', 'uninvolved', 'untroubled']",apathetic,0
158,antonyms - gradable,dangerous,harmless,noisy,"['silent', 'uncommunicative', 'dumb', 'mute', 'inarticulate', 'unarticulate']",quiet,0
159,antonyms - gradable,concerned,untroubled,able,"['unable', 'incapable', 'incompetent', 'unequal']",capable,0
160,antonyms - binary,input,output,climb,"['descend', 'declivitous', 'downhill', 'downward sloping', 'degressive', 'descendant', 'descendent', 'down', 'downward', 'downward arching', 'drizzling', 'dropping', 'falling', 'raining']",descend,1
161,antonyms - binary,off,on,dead,"['alive', 'living', 'live']",Alive,1
162,antonyms - binary,dive,emerge,dead,"['alive', 'living', 'live']",Resurface,0
163,antonyms - binary,drop,lift,out,"['in', 'inside']",push out,0
164,antonyms - binary,inverse,turnabout,over,"['under', 'below', 'beneath']",under,1
165,antonyms - binary,outward,upward,front,"['back', 'rear', 'forepart']",back,1
166,antonyms - binary,inbound,outbound,interior,"['exterior', 'outdoor', 'out of door', 'outside']",exterior,1
167,antonyms - binary,occupied,vacant,inside,"['outside', 'exterior', 'out']",outside,1
168,antonyms - binary,mortal,immortal,uphill,"['downhill', 'decline', 'fall', 'declivitous', 'downward sloping']",downhill,1
169,antonyms - binary,forward,backward,up,"['down', 'downwards', 'downward', 'downwardly']",Down,1
170,antonyms - binary,in,out,true,"['false', 'incorrect', 'wrong', 'mistaken']",false,1
171,antonyms - binary,front,back,south,['north'],North,1
172,antonyms - binary,dynamic,unmoving,first,"['last', 'end', 'terminal', 'ending', 'final', 'finish', 'finale', 'conclusion']",last,1
173,antonyms - binary,front,back,before,"['after', 'subsequently', 'later', 'afterwards', 'afterward', 'ahead']",after,1
174,antonyms - binary,in,out,inbound,['outbound'],outbound,1
175,antonyms - binary,fall,upward,occupied,"['vacant', 'free']",unoccupied,0
176,antonyms - binary,west,east,inverse,"['reverse', 'reversion', 'reversal', 'turnabout', 'turnaround']",reverse,1
177,antonyms - binary,after,before,up,"['down', 'downwards', 'downward', 'downwardly']",down,1
178,antonyms - binary,downslope,ascent,forward,"['backward', 'back', 'backwards', 'rearward', 'rearwards']",backward,1
179,antonyms - binary,down,lead,up,"['down', 'downwards', 'downward', 'downwardly']",follow,0
180,meronyms - part,car,inlet manifold,comb,"['teeth', 'shaft', 'grip', 'tooth', 'handle']",Hair,0
181,meronyms - part,flower,flower petal,torso,"['chest', 'arse', 'shoulder', 'bum', 'midriff', 'groin', 'deltoid', 'diaphragm', 'lat', 'pectoralis', 'behind', 'gluteus', 'middle', 'stomach', 'teres', 'thorax', 'tush', 'ab', 'rump', 'breastbone', 'buns', 'gladiolus', 'haunch', 'backside', 'buttocks', 'serratus', 'pectoral', 'stern', 'navel', 'paunch', 'seat', 'mediastinum', 'ass', 'axilla', 'back', 'belly', 'bottom', 'omphalos', 'fundament', 'acromion', 'derriere', 'hindgut', 'gut', 'gallbladder', 'saddle', 'cheek', 'waist', 'butt', 'bowel', 'keister', 'bellybutton', 'pectus', 'prat', 'loins', 'abdominal', 'rear', 'dorsum', 'posterior', 'venter', 'small', 'abdomen', 'umbilicus', 'armpit', 'waistline', 'sternum', 'scapula', 'glute', 'manubrium', 'fanny', 'side', 'midsection', 'pecs', 'hip', 'buttock', 'intestine', 'breast', 'can', 'tail', 'hindquarters', 'xiphoid process', 'thoracic vertebra', 'abdominal wall', 'musculus deltoideus', 'abdominal cavity', 'arteria circumflexa scapulae', 'arteria glutes', 'arteria axillaris', 'axillary fossa', 'arteria colica', 'articulatio humeri', 'shoulder joint', 'gall bladder', 'spare tire', 'arteria circumflexa humeri', 'serratus muscles', 'axillary artery', 'gluteus muscle', 'love handle', 'latissimus dorsi', 'pectoral muscle', 'tooshie', 'abdominal muscle', 'circumflex humeral artery', 'abdominal aorta', 'vena thoracica', 'musculus pectoralis', 'hypochondrium', 'area of cardiac dullness', 'glenoid cavity', 'rib cage', 'thoracic aorta', 'omphalus', 'circumflex scapular artery', 'acromial process', 'shoulder bone', 'tail end', 'rear end', 'gluteal muscle', 'inguen', 'shoulder blade', 'rotator cuff', 'corpus sternum', 'dorsal vertebra', 'teres muscle', 'thoracic cavity', 'axillary cavity', 'chest cavity', 'deltoid muscle', 'belly button', 'gluteal artery', 'thoracic vein', 'glenoid fossa', 'nates', 'colic artery', 'lumbar vertebra', 'hind end']",Arm,0
182,meronyms - part,day,night,bus,"['seats', 'conductor', 'window', 'driver', 'roof']",Train,0
183,meronyms - part,pie,glazing,castle,"['donjon', 'tower', 'turret', 'gate', 'dungeon', 'moat', 'keep', 'great hall']",Moat,1
184,meronyms - part,window,window frame,pie,"['crust', 'cheese', 'filling', 'fruit', 'apple', 'berries', 'glazing', 'pastry', 'icing']",Pie pan,0
185,meronyms - part,pub,saloon,deer,"['antler', 'antlers', 'withers', 'flag', 'scut']",Deer,0
186,meronyms - part,chair,armrests,pie,"['crust', 'cheese', 'filling', 'fruit', 'apple', 'berries', 'glazing', 'pastry', 'icing']",Crust,1
187,meronyms - part,tripod,stand,telephone,"['receiver', 'mouthpiece', 'dial', 'wire', 'screen', 'display', 'telephone receiver']",dial,1
188,meronyms - part,door,casing,jewellery,"['bead', 'stone', 'wire', 'beads', 'gemstone', 'gem', 'metal', 'gold', 'silver', 'platina', 'bead', 'beads', 'jewel']",box,0
189,meronyms - part,sonata,movement,byte,['bit'],a computer,0
190,meronyms - part,castle,tower,piano,"['keyboard', 'clavier', 'loud', 'hammer', 'sounding', 'pedal', 'sustaining', 'soft', 'fingerboard', 'soundboard', 'action', 'board', 'key', 'fallboard', 'piano action', 'action mechanism', 'damper block', 'fall board', 'sounding board', 'sustaining pedal', 'loud pedal', 'piano damper', 'piano keyboard', 'sound hole', 'soft pedal']",keys,0
191,meronyms - part,apartment,toilet,pie,"['crust', 'cheese', 'filling', 'fruit', 'apple', 'berries', 'glazing', 'pastry', 'icing']",slice,0
192,meronyms - part,table,legs,deer,"['antler', 'antlers', 'withers', 'flag', 'scut']",Antlers,1
193,meronyms - part,apartment,bathroom,harbor,"['dock', 'facility', 'anchorage', 'landing', 'docking', 'dockage', 'anchorage ground', 'docking facility', 'landing place', 'landing stage']",port,0
194,meronyms - part,dress,plastron,bird,"['feathers', 'plume', 'preen', 'croup', 'calamus', 'fowl', 'drumstick', 'syrinx', 'bill', 'rump', 'vane', 'barb', 'quill', 'shaft', 'pecker', 'pennon', 'feet', 'giblets', 'alula', 'talon', 'foot', 'pinion', 'wing', 'wishbone', 'nib', 'sac', 'giblet', 'furcula', 'bird', 'neb', 'feather', 'gland', 'oyster', 'thigh', 'plumage', 'web', 'hindquarters', 'beak', ""parson's nose"", 'wishing bone', ""pope's nose"", 'spurious wing', 'bastard wing', 'croupe', 'air sac', 'quill feather', 'uropygium', ""bird's foot"", 'uropygial', 'second joint', 'uropygial gland', 'preen gland', 'flight feather', 'dark meat']",Nest,0
195,meronyms - part,orthography,punctuation mark,jail,"['cell', 'cellblock', 'guard', 'police', 'prison cell', 'jail cell']",Incarceration,0
196,meronyms - part,radio,wireless,deer,"['antler', 'antlers', 'withers', 'flag', 'scut']",wildlife,0
197,meronyms - part,deer,antler,sword,"['blade', 'forte', 'hilt', 'peak', 'foible', 'point', 'pommel', 'haft', 'tip', 'knob', 'helve', 'knife edge', 'cutting edge']",Blade,1
198,meronyms - part,dress,zipper,chair,"['seat', 'armrest', 'headrest', 'armrests', 'rest', 'pad', 'back', 'leg', 'backrest', 'legs']",legs,1
199,meronyms - part,sword,peak,torso,"['chest', 'arse', 'shoulder', 'bum', 'midriff', 'groin', 'deltoid', 'diaphragm', 'lat', 'pectoralis', 'behind', 'gluteus', 'middle', 'stomach', 'teres', 'thorax', 'tush', 'ab', 'rump', 'breastbone', 'buns', 'gladiolus', 'haunch', 'backside', 'buttocks', 'serratus', 'pectoral', 'stern', 'navel', 'paunch', 'seat', 'mediastinum', 'ass', 'axilla', 'back', 'belly', 'bottom', 'omphalos', 'fundament', 'acromion', 'derriere', 'hindgut', 'gut', 'gallbladder', 'saddle', 'cheek', 'waist', 'butt', 'bowel', 'keister', 'bellybutton', 'pectus', 'prat', 'loins', 'abdominal', 'rear', 'dorsum', 'posterior', 'venter', 'small', 'abdomen', 'umbilicus', 'armpit', 'waistline', 'sternum', 'scapula', 'glute', 'manubrium', 'fanny', 'side', 'midsection', 'pecs', 'hip', 'buttock', 'intestine', 'breast', 'can', 'tail', 'hindquarters', 'xiphoid process', 'thoracic vertebra', 'abdominal wall', 'musculus deltoideus', 'abdominal cavity', 'arteria circumflexa scapulae', 'arteria glutes', 'arteria axillaris', 'axillary fossa', 'arteria colica', 'articulatio humeri', 'shoulder joint', 'gall bladder', 'spare tire', 'arteria circumflexa humeri', 'serratus muscles', 'axillary artery', 'gluteus muscle', 'love handle', 'latissimus dorsi', 'pectoral muscle', 'tooshie', 'abdominal muscle', 'circumflex humeral artery', 'abdominal aorta', 'vena thoracica', 'musculus pectoralis', 'hypochondrium', 'area of cardiac dullness', 'glenoid cavity', 'rib cage', 'thoracic aorta', 'omphalus', 'circumflex scapular artery', 'acromial process', 'shoulder bone', 'tail end', 'rear end', 'gluteal muscle', 'inguen', 'shoulder blade', 'rotator cuff', 'corpus sternum', 'dorsal vertebra', 'teres muscle', 'thoracic cavity', 'axillary cavity', 'chest cavity', 'deltoid muscle', 'belly button', 'gluteal artery', 'thoracic vein', 'glenoid fossa', 'nates', 'colic artery', 'lumbar vertebra', 'hind end']",waist,1
